date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-03 00:00:00,535000.0,4.0,2.25,2290,5350,2.0,0,0,4,2120,170,1958,1972,2523 42nd Ave W,Seattle,WA 98199,USA
2014-06-03 00:00:00,596165.428571,4.0,2.0,2580,6000,1.0,0,0,5,1300,1280,1950,0,3449 Magnolia Blvd W,Seattle,WA 98199,USA
2014-06-03 00:00:00,269187.5,3.0,1.75,1590,27200,1.5,0,0,4,1590,0,1926,1993,19827 SE Maple Valley Hwy,Maple Valley,WA 98038,USA
2014-06-03 00:00:00,148612.5,3.0,1.0,1040,6860,2.0,0,0,3,1040,0,1942,1999,10120-10198 34th Ave SW,Seattle,WA 98146,USA
2014-06-03 00:00:00,341166.666667,5.0,2.75,2670,3800,2.0,0,0,3,2670,0,2014,0,16301 SE 139th Ct,Renton,WA 98059,USA
2014-06-04 00:00:00,132500.0,4.0,1.0,1540,115434,1.5,0,0,4,1540,0,1923,0,9138 S 208th St,Kent,WA 98031,USA
2014-06-04 00:00:00,557125.0,4.0,2.75,3370,12447,2.0,0,0,3,3370,0,1991,0,14257 212th Dr NE,Woodinville,WA 98077,USA
2014-06-04 00:00:00,228944.444444,3.0,1.75,1730,11325,1.0,0,0,5,1730,0,1972,0,23403 120th Ave SE,Kent,WA 98031,USA
2014-06-05 00:00:00,592105.714286,3.0,2.5,1640,29970,2.0,0,0,3,1640,0,1992,0,3040 273rd Ave NE,Redmond,WA 98053,USA
2014-06-05 00:00:00,535000.0,4.0,2.25,2980,8051,1.5,0,2,4,2020,960,1935,0,2550 Westmont Way W,Seattle,WA 98199,USA
2014-06-05 00:00:00,420642.857143,3.0,2.0,1330,8100,1.0,0,0,4,1330,0,1969,0,13817 125th Ave NE,Kirkland,WA 98034,USA
2014-06-05 00:00:00,132250.0,4.0,2.25,2192,12128,2.0,0,0,3,2192,0,2006,0,26429 106th Ave SE,Kent,WA 98030,USA
2014-06-05 00:00:00,237227.857143,4.0,2.5,2068,7242,2.0,0,0,4,2068,0,1976,1992,30036-30116 42nd Pl S,Auburn,WA 98001,USA
2014-06-05 00:00:00,440825.0,3.0,1.75,1980,6250,1.0,0,1,5,1090,890,1910,0,5256 42nd Ave SW,Seattle,WA 98136,USA
2014-06-05 00:00:00,2560498.33333,3.0,2.5,1710,1664,2.0,0,0,5,1300,410,2003,0,2826 21st Ave W,Seattle,WA 98199,USA
2014-06-06 00:00:00,423050.925926,2.0,1.0,890,4590,1.0,0,0,3,890,0,1923,1998,332 NW 84th St,Seattle,WA 98117,USA
2014-06-06 00:00:00,1337044.2,4.0,3.5,4280,9583,2.0,0,0,3,4280,0,2005,0,1415 108th Ave SE,Bellevue,WA 98004,USA
2014-06-06 00:00:00,315368.7,3.0,2.5,3080,12476,2.0,0,0,3,3080,0,1990,2009,25221 235th Way SE,Maple Valley,WA 98038,USA
2014-06-06 00:00:00,417985.714286,4.0,2.25,2070,7500,2.0,0,0,4,2070,0,1977,0,14025 93rd Ave NE,Kirkland,WA 98034,USA
2014-06-06 00:00:00,723243.75,4.0,2.75,3010,7215,2.0,0,0,3,3010,0,2014,0,10611 Slater Ave NE,Kirkland,WA 98033,USA
2014-06-09 00:00:00,259950.0,4.0,2.0,2030,9300,1.0,0,0,4,2030,0,1976,1992,14218 NE 67th Ct,Redmond,WA 98052,USA
2014-06-10 00:00:00,237333.333333,3.0,2.75,2340,16500,1.0,0,0,4,1500,840,1972,0,21600 SE 18th Pl,Sammamish,WA 98075,USA
2014-06-10 00:00:00,426090.0,3.0,2.5,2340,5957,2.0,0,0,3,2340,0,1995,0,7821 NE 147th St,Kenmore,WA 98028,USA
2014-06-10 00:00:00,458663.888889,2.0,1.0,1470,7137,1.0,0,0,3,1020,450,1941,1994,9736 Dayton Ave N,Seattle,WA 98103,USA
2014-06-10 00:00:00,812650.0,4.0,2.5,3700,21755,1.0,0,4,3,2620,1080,1988,2000,4462 175th Pl SE,Bellevue,WA 98006,USA
2014-06-10 00:00:00,135333.333333,4.0,1.0,1200,7200,1.5,0,0,3,1200,0,1944,0,6815 S 120th Pl,Seattle,WA 98178,USA
2014-06-12 00:00:00,387884.615385,3.0,1.75,1590,8219,1.5,0,0,5,970,620,1938,0,12632 93rd Pl NE,Kirkland,WA 98034,USA
2014-06-12 00:00:00,437500.0,5.0,3.5,3690,11928,2.0,0,0,3,2540,1150,2006,0,114 210th Ave NE,Sammamish,WA 98074,USA
2014-06-12 00:00:00,641633.333333,3.0,2.5,2480,5137,2.0,0,0,3,2480,0,2000,0,13202 NE 92nd Way,Redmond,WA 98052,USA
2014-06-12 00:00:00,681965.78125,4.0,2.5,2683,40386,2.0,0,0,4,2683,0,1987,0,10821 151st Ave NE,Redmond,WA 98052,USA
2014-06-12 00:00:00,229629.5,2.0,1.0,1100,8281,1.0,0,0,4,1100,0,1947,1988,1206 NE 155th St,Shoreline,WA 98155,USA
2014-06-12 00:00:00,210614.285714,3.0,2.5,2210,10119,1.0,0,0,4,1450,760,1966,0,1121 E Guiberson St,Kent,WA 98030,USA
2014-06-12 00:00:00,790000.0,4.0,3.25,2420,4000,1.5,0,0,5,1870,550,1911,1984,4039 4th Ave NE,Seattle,WA 98105,USA
2014-06-12 00:00:00,435500.0,3.0,3.5,1240,1666,2.0,0,0,3,1000,240,2008,0,5922 44th Ave SW,Seattle,WA 98136,USA
2014-06-13 00:00:00,738190.857143,3.0,2.5,2300,3060,1.5,0,0,3,1510,790,1930,2002,7349 17th Ave NE,Seattle,WA 98115,USA
2014-06-13 00:00:00,497333.333333,3.0,1.75,1760,12874,1.0,0,0,4,1230,530,1967,0,12926 SE 23rd St,Bellevue,WA 98005,USA
2014-06-13 00:00:00,300000.0,3.0,2.0,2020,8555,1.0,0,0,4,1220,800,1957,2001,13545 39th Ave NE,Seattle,WA 98125,USA
2014-06-15 00:00:00,1036200.0,4.0,3.25,2500,5801,1.5,0,0,3,1960,540,1926,2003,1502 Parkside Dr E,Seattle,WA 98112,USA
2014-06-16 00:00:00,163785.714286,2.0,1.0,760,5500,1.5,0,0,3,760,0,1947,2012,11023 4th Ave S,Seattle,WA 98168,USA
2014-06-16 00:00:00,351250.0,4.0,1.75,1580,5340,1.0,0,0,3,1130,450,1947,2012,214 20th Ave S,Seattle,WA 98144,USA
2014-06-17 00:00:00,645325.0,3.0,2.5,2670,10481,2.0,0,0,3,2670,0,2003,0,6901 123rd Ave NE,Kirkland,WA 98033,USA
2014-06-17 00:00:00,171224.8,3.0,1.0,1140,8366,1.0,0,0,5,1140,0,1943,0,3108 SE 6th St,Renton,WA 98058,USA
2014-06-17 00:00:00,540000.0,3.0,2.75,2750,18029,1.0,0,2,5,1810,940,1978,0,4708 154th Pl SE,Bellevue,WA 98006,USA
2014-06-17 00:00:00,233166.666667,3.0,2.0,1570,7000,2.0,0,2,4,1050,520,1971,0,429 Randolph Ave,Seattle,WA 98122,USA
2014-06-17 00:00:00,329333.333333,3.0,1.75,1160,22470,1.0,0,0,4,1160,0,1976,1992,18124-18204 83rd Ave NE,Kenmore,WA 98028,USA
2014-06-17 00:00:00,225279.428571,3.0,2.25,2110,7665,1.0,0,0,4,1360,750,1973,0,32744 30th Ave SW,Federal Way,WA 98023,USA
2014-06-17 00:00:00,331366.666667,3.0,2.5,1270,2509,2.0,0,0,3,1270,0,2004,2003,2492 SW Webster St,Seattle,WA 98106,USA
2014-06-17 00:00:00,460886.923077,4.0,2.5,3250,4500,2.0,0,0,3,3250,0,2009,0,5221 NE 7th Pl,Renton,WA 98059,USA
2014-06-18 00:00:00,337945.75,2.0,1.0,940,9839,1.0,0,0,3,940,0,1910,2006,4100 SW Othello St,Seattle,WA 98136,USA
2014-06-18 00:00:00,243069.230769,3.0,1.0,1130,12519,1.0,0,0,3,1130,0,1958,2004,834 Lynnwood Ave NE,Renton,WA 98056,USA
2014-06-18 00:00:00,690408.62069,4.0,2.5,3210,14910,2.0,0,0,3,3210,0,1995,0,110-112 209th Pl SE,Sammamish,WA 98074,USA
2014-06-19 00:00:00,592105.714286,3.0,2.5,2650,40705,2.0,0,0,3,2650,0,1994,0,7047 208th Ave NE,Redmond,WA 98053,USA
2014-06-19 00:00:00,220083.333333,3.0,1.75,1150,8079,1.0,0,0,4,1150,0,1983,0,12021 SE 251 Pl,Kent,WA 98030,USA
2014-06-19 00:00:00,280000.0,3.0,3.0,3910,19023,2.0,0,0,3,3910,0,1985,0,31751 NE 110th St,Carnation,WA 98014,USA
2014-06-19 00:00:00,297857.142857,4.0,2.5,3490,5000,2.0,0,0,3,3490,0,2003,0,16102 SE 251 St,Covington,WA 98042,USA
2014-06-19 00:00:00,950833.333333,5.0,3.0,3330,19126,2.0,0,0,4,2610,720,1977,0,6100 93rd Ave SE,Mercer Island,WA 98040,USA
2014-06-19 00:00:00,323833.333333,4.0,1.0,1940,5753,1.5,0,0,3,1940,0,1947,2012,12234 1st Ave NW,Seattle,WA 98177,USA
2014-06-19 00:00:00,309000.0,3.0,2.5,1800,2700,2.0,0,0,3,1800,0,2011,0,2803 SW Bataan St,Seattle,WA 98126,USA
2014-06-20 00:00:00,248400.0,3.0,1.75,1880,11249,1.0,0,0,3,1330,550,1985,0,2431 T St NW,Auburn,WA 98001,USA
2014-06-20 00:00:00,994500.0,4.0,2.25,2870,6280,1.5,0,0,4,1980,890,1905,0,1517-1519 17th Ave E,Seattle,WA 98112,USA
2014-06-23 00:00:00,288500.0,5.0,2.5,3390,9760,1.0,0,0,5,1750,1640,1978,0,15224 SE 175th Pl,Renton,WA 98058,USA
2014-06-23 00:00:00,379509.166667,2.0,1.0,880,6413,1.0,0,0,3,880,0,1950,2005,3429 49th Ave SW,Seattle,WA 98116,USA
2014-06-23 00:00:00,180785.714286,2.0,1.0,2550,21675,1.0,0,1,4,1610,940,1958,1972,22320 11th Ave S,Des Moines,WA 98198,USA
2014-06-23 00:00:00,950100.0,4.0,2.5,3160,13194,2.0,0,0,5,3160,0,1965,0,6135 79th Ave SE,Mercer Island,WA 98040,USA
2014-06-24 00:00:00,542500.0,5.0,2.75,3831,13800,2.0,1,4,3,3831,0,1959,1980,6208 SE 22nd St,Mercer Island,WA 98040,USA
2014-06-24 00:00:00,362750.0,2.0,1.75,1240,3000,1.5,0,0,3,1240,0,1906,2014,150 NE 55th St,Seattle,WA 98105,USA
2014-06-24 00:00:00,234975.0,4.0,2.75,2520,14021,2.0,0,0,3,2520,0,1999,0,28509 NE 149th Pl,Duvall,WA 98019,USA
2014-06-24 00:00:00,672500.0,4.0,2.25,2420,10200,2.0,0,0,4,2420,0,1973,0,8516 SE 78th St,Mercer Island,WA 98040,USA
2014-06-24 00:00:00,391400.0,4.0,1.75,1250,7400,1.0,0,0,5,1250,0,1959,0,1039 165th Pl NE,Bellevue,WA 98008,USA
2014-06-24 00:00:00,198995.0,3.0,1.0,1410,8053,1.0,0,0,4,1410,0,1951,1999,10320 Dibble Ave NW,Seattle,WA 98177,USA
2014-06-24 00:00:00,278900.0,3.0,1.0,990,9798,1.0,0,0,3,990,0,1968,1997,13101 NE 193rd Pl,Woodinville,WA 98072,USA
2014-06-24 00:00:00,171758.333333,3.0,1.0,1000,8512,1.0,0,0,3,1000,0,1991,0,3402 261st Pl SE,Enumclaw,WA 98022,USA
2014-06-24 00:00:00,325187.5,3.0,1.75,2000,7560,1.0,0,0,4,1300,700,1968,0,12621 SE 187th Pl,Renton,WA 98058,USA
2014-06-25 00:00:00,190368.75,2.0,1.0,1120,5650,1.0,0,0,3,1120,0,1944,0,7414 S 118th Pl,Seattle,WA 98178,USA
2014-06-25 00:00:00,375000.0,5.0,3.25,3370,7947,2.0,0,0,3,3370,0,2001,0,1826 4th St,Kirkland,WA 98033,USA
2014-06-25 00:00:00,216000.0,3.0,2.75,2210,4000,2.0,0,0,3,2210,0,2008,0,10915 243rd Ave NE,Redmond,WA 98053,USA
2014-06-25 00:00:00,360500.0,3.0,2.5,1150,887,3.0,0,0,3,1150,0,2007,0,10703 Greenwood Ave N,Seattle,WA 98133,USA
2014-06-26 00:00:00,677099.565217,4.0,2.5,2150,27540,2.0,0,0,3,2150,0,1997,0,3046 Quail Creek Way NE,Redmond,WA 98053,USA
2014-06-26 00:00:00,405125.0,4.0,2.75,4230,31747,2.0,0,0,4,4230,0,1985,0,14323-14347 155th Ave NE,Woodinville,WA 98072,USA
2014-06-26 00:00:00,289987.5,3.0,1.75,1570,15330,1.0,0,0,3,1080,490,1956,2001,15821 4th Ave SW,Burien,WA 98166,USA
2014-06-26 00:00:00,264270.0,3.0,2.5,1630,7700,1.0,0,0,3,1120,510,1978,0,9812 S 239th Pl,Kent,WA 98031,USA
2014-06-26 00:00:00,602761.0,4.0,2.5,2770,10274,2.0,0,0,3,2770,0,1989,0,3823 242nd Ave SE,Issaquah,WA 98029,USA
2014-06-26 00:00:00,251555.555556,3.0,1.0,1750,7800,1.0,0,0,4,1150,600,1956,0,16004 7th Ave SW,Burien,WA 98166,USA
2014-06-26 00:00:00,214750.0,3.0,1.5,1090,8160,1.0,0,0,3,1090,0,1967,2014,16430 125th Ave SE,Renton,WA 98058,USA
2014-06-26 00:00:00,258125.0,2.0,1.0,930,7740,1.0,0,0,3,930,0,1924,2011,11020 34th Ave NE,Seattle,WA 98125,USA
2014-06-27 00:00:00,677099.565217,4.0,2.5,2540,38677,2.0,0,0,3,2540,0,1987,2000,7238 221st Ave NE,Redmond,WA 98053,USA
2014-06-27 00:00:00,167500.0,1.0,1.0,690,1950,1.0,0,0,3,690,0,1928,1954,7554 14th Ave NW,Seattle,WA 98117,USA
2014-06-27 00:00:00,471500.0,4.0,3.0,2370,3672,1.5,0,0,5,1650,720,1916,0,6811 16th Ave NE,Seattle,WA 98115,USA
2014-06-29 00:00:00,464600.0,2.0,1.0,840,3400,1.0,0,2,4,840,0,1924,0,2423 11th Ave W,Seattle,WA 98119,USA
2014-06-30 00:00:00,132250.0,4.0,2.25,1830,8734,2.0,0,0,4,1830,0,1991,0,12116 SE 261st Ct,Kent,WA 98030,USA
2014-06-30 00:00:00,433111.111111,3.0,2.25,1370,1524,3.0,0,0,3,1370,0,2005,0,902 N 95th St,Seattle,WA 98103,USA
2014-06-30 00:00:00,542500.0,5.0,2.75,2520,16100,1.0,0,3,4,1570,950,1960,2001,8336 Avalon Dr,Mercer Island,WA 98040,USA
2014-07-01 00:00:00,368112.5,4.0,2.5,2590,8483,2.0,0,0,3,2590,0,1991,0,8917 NE 151st Pl,Bothell,WA 98011,USA
2014-07-01 00:00:00,673476.818182,4.0,2.5,1820,20011,2.0,0,0,3,1820,0,1987,2000,22101 SE 28th St,Sammamish,WA 98075,USA
2014-07-01 00:00:00,558653.846154,3.0,2.5,1530,3210,1.5,0,0,5,1010,520,1928,1970,8519 28th Ave NW,Seattle,WA 98117,USA
2014-07-02 00:00:00,168333.333333,2.0,1.0,1050,6600,1.5,0,0,3,1050,0,1964,2000,13407 8th Ave S,Burien,WA 98168,USA
2014-07-02 00:00:00,268971.875,4.0,2.5,1954,4805,2.0,0,0,3,1954,0,2005,0,19320 113th Ave SE,Kent,WA 98031,USA
2014-07-02 00:00:00,318000.0,2.0,1.75,1530,3503,1.0,0,1,4,830,700,1916,0,1922 11th Ave W,Seattle,WA 98119,USA
2014-07-02 00:00:00,550607.142857,4.0,2.0,1660,4800,1.5,0,0,3,1660,0,1922,2008,4007 Woodland Park Ave N,Seattle,WA 98103,USA
2014-07-02 00:00:00,1288333.33333,6.0,4.5,3830,4800,3.0,0,0,3,3050,780,1919,2004,2425 3rd Ave W,Seattle,WA 98119,USA
2014-07-02 00:00:00,584000.0,3.0,1.75,1490,1036,2.0,0,0,3,1090,400,2008,0,4304B 36th Ave W,Seattle,WA 98199,USA
2014-07-02 00:00:00,245000.0,3.0,3.0,2470,7410,2.0,0,0,5,1860,610,1977,0,8833 Earl Ave NW,Seattle,WA 98117,USA
2014-07-03 00:00:00,287919.782609,2.0,1.0,870,4600,1.0,0,0,4,870,0,1942,1982,8506 37th Ave SW,Seattle,WA 98126,USA
2014-07-05 00:00:00,672500.0,4.0,2.25,2110,12653,2.0,0,0,4,2110,0,1972,0,7490 85th Ave SE,Mercer Island,WA 98040,USA
2014-07-06 00:00:00,454790.0,2.0,1.75,1990,4000,1.0,0,0,5,1090,900,1952,1998,8215 Stone Ave N,Seattle,WA 98103,USA
2014-07-07 00:00:00,282508.888889,3.0,1.0,1560,7552,1.0,0,0,4,910,650,1948,0,228 NE 174th St,Shoreline,WA 98155,USA
2014-07-07 00:00:00,473200.0,3.0,1.5,1740,4200,1.5,0,0,4,1640,100,1920,0,6714 4th Ave NW,Seattle,WA 98117,USA
2014-07-07 00:00:00,406062.5,2.0,1.0,1290,4650,1.0,0,0,4,1290,0,1906,1990,312 NE 81st St,Seattle,WA 98115,USA
2014-07-07 00:00:00,282766.666667,4.0,2.0,1700,8640,1.0,0,0,3,850,850,1955,2010,3706 140th Ave SE,Bellevue,WA 98006,USA
2014-07-07 00:00:00,486445.833333,3.0,1.75,1880,10032,1.0,0,0,4,1880,0,1984,0,13345 SE 55th Pl,Bellevue,WA 98006,USA
2014-07-07 00:00:00,486895.0,3.0,1.0,1890,3330,1.5,0,0,4,1390,500,1901,0,4324 Dayton Ave N,Seattle,WA 98103,USA
2014-07-07 00:00:00,430277.777778,3.0,2.25,1620,1075,3.0,0,0,3,1540,80,2009,0,972 4th Ave NE,Issaquah,WA 98029,USA
2014-07-08 00:00:00,229629.5,2.0,1.0,770,8149,1.0,0,0,3,770,0,1948,1994,16040 28th Ave NE,Shoreline,WA 98155,USA
2014-07-08 00:00:00,182805.0,3.0,1.0,1040,8892,1.0,0,0,4,800,240,1958,1972,1028 SW 307th St,Federal Way,WA 98023,USA
2014-07-08 00:00:00,380680.555556,4.0,2.5,2620,8331,2.0,0,0,3,2620,0,1991,0,13602 SE 186th Pl,Renton,WA 98058,USA
2014-07-08 00:00:00,396166.666667,3.0,1.75,1880,5752,1.0,0,0,4,940,940,1945,0,3529 SW Webster St,Seattle,WA 98126,USA
2014-07-08 00:00:00,252980.0,4.0,2.5,2530,8169,2.0,0,0,3,2530,0,1993,0,37654 18th Pl S,Federal Way,WA 98003,USA
2014-07-08 00:00:00,289373.307692,3.0,2.5,2538,4600,2.0,0,0,3,2538,0,2013,1923,5703 Charlotte Ave SE,Auburn,WA 98092,USA
2014-07-09 00:00:00,210614.285714,3.0,2.5,1610,7223,2.0,0,0,3,1610,0,1994,0,26306 127th Ave SE,Kent,WA 98030,USA
2014-07-09 00:00:00,308166.666667,3.0,1.75,1510,6360,1.0,0,0,4,1510,0,1954,1979,501 N 143rd St,Seattle,WA 98133,USA
2014-07-09 00:00:00,534333.333333,3.0,2.5,1460,7573,2.0,0,0,3,1460,0,1983,2009,14855 SE 10th Pl,Bellevue,WA 98007,USA
2014-07-09 00:00:00,416904.166667,3.0,2.5,3010,7014,2.0,0,0,3,3010,0,2009,0,759 Ilwaco Pl NE,Renton,WA 98059,USA
2014-07-10 00:00:00,203400.0,4.0,2.0,2090,6630,1.0,0,0,3,1070,1020,1974,0,5148 S Creston St,Seattle,WA 98178,USA
2014-07-10 00:00:00,220600.0,3.0,2.5,1490,8102,2.0,0,0,4,1490,0,1990,0,18717 SE 258th St,Covington,WA 98042,USA
